System Info:
Linux kali 6.12.25-amd64 #1 SMP PREEMPT_DYNAMIC Kali 6.12.25-1kali1 (2025-04-30) x86_64 GNU/Linux
User:
luci
Processes:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  24660 15440 ?        Ss   02:30   0:27 /usr/lib/systemd/systemd --system --deserialize=59 splash
luci        3869  0.0  0.0 165348  5672 ?        Ssl  02:32   0:00 /usr/libexec/dconf-service
luci        3885  0.0  2.3 1783544 150300 ?      Sl   02:32   0:11 /usr/libexec/mutter-x11-frames
luci        3888  0.0  0.1 168872  7296 ?        Sl   02:32   0:03 /usr/libexec/at-spi2-registryd --use-gnome-session
luci        3907  0.0  0.3 778284 20332 ?        Ssl  02:32   0:05 /usr/libexec/xdg-desktop-portal
luci        3912  0.0  0.0 308740  6344 ?        Ssl  02:32   0:00 /usr/libexec/xdg-permission-store
luci        3917  0.0  0.1 539708  6856 ?        Ssl  02:32   0:00 /usr/libexec/xdg-document-portal
root        3924  0.0  0.0   2584  1784 ?        Ss   02:32   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
luci        3937  0.0  0.2 661544 19192 ?        Sl   02:32   0:01 /usr/libexec/gnome-shell-calendar-server
luci        3956  0.0  0.9 1364072 62504 ?       Ssl  02:32   0:02 /usr/libexec/evolution-source-registry
luci        3967  0.0  0.4 2739308 28708 ?       Sl   02:32   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
luci        3983  0.1  0.1 311768 10872 ?        Ssl  02:32   0:58 /usr/bin/ibus-daemon --panel disable --xim
luci        3989  0.0  0.1 242376  6608 ?        Ssl  02:32   0:00 /usr/libexec/gsd-a11y-settings
luci        3993  0.0  0.4 346976 26108 ?        Ssl  02:32   0:01 /usr/libexec/gsd-color
luci        3994  0.0  0.1 253768  9700 ?        Ssl  02:32   0:00 /usr/libexec/gsd-datetime
luci        3996  0.0  0.1 383372  8060 ?        Ssl  02:32   0:02 /usr/libexec/gsd-housekeeping
luci        3999  0.0  0.4 411252 25880 ?        Ssl  02:32   0:01 /usr/libexec/gsd-keyboard
luci        4000  0.0  1.2 1053516 80136 ?       Sl   02:32   0:03 /usr/libexec/evolution-data-server/evolution-alarm-notify
luci        4006  0.0  0.9 531480 62296 ?        Sl   02:32   0:03 /usr/bin/python3 /usr/bin/blueman-applet
luci        4007  0.0  0.4 643936 29368 ?        Ssl  02:32   0:01 /usr/libexec/gsd-media-keys
luci        4009  0.0  0.4 488188 27396 ?        Ssl  02:32   0:02 /usr/libexec/gsd-power
luci        4011  0.0  0.1 320076 10628 ?        Ssl  02:32   0:00 /usr/libexec/gsd-print-notifications
luci        4014  0.0  0.1 381788  6764 ?        Ssl  02:32   0:00 /usr/libexec/gsd-rfkill
luci        4017  0.0  0.0 168380  6200 ?        Ssl  02:32   0:00 /usr/libexec/gsd-screensaver-proxy
luci        4020  0.0  0.1 306220  6848 ?        Sl   02:32   0:00 /usr/libexec/gsd-disk-utility-notify
luci        4026  0.0  0.1 465916 11184 ?        Ssl  02:32   0:00 /usr/libexec/gsd-sharing
luci        4027  0.0  0.2 394332 13420 ?        Ssl  02:32   0:01 /usr/libexec/gsd-smartcard
luci        4028  0.0  0.1 253244  9172 ?        Ssl  02:32   0:00 /usr/libexec/gsd-sound
luci        4036  0.0  0.1 464804  7288 ?        Ssl  02:32   0:00 /usr/libexec/gsd-usb-protection
luci        4041  0.3  0.7 232880 49388 ?        Sl   02:32   2:01 /usr/bin/vmtoolsd -n vmusr --blockFd 3
luci        4044  0.0  0.4 273212 26812 ?        Ssl  02:32   0:01 /usr/libexec/gsd-wacom
luci        4056  0.0  0.4 485504 26364 ?        Ssl  02:32   0:01 /usr/libexec/gsd-xsettings
root        4150  0.0  0.2 470060 13632 ?        Ssl  02:32   0:03 /usr/libexec/udisks2/udisksd
luci        4166  0.0  0.1 391008 10872 ?        Ssl  02:32   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
luci        4168  0.0  0.1 169188  7332 ?        Sl   02:32   0:00 /usr/libexec/ibus-memconf
luci        4171  0.0  0.5 355100 35476 ?        Sl   02:32   0:24 /usr/libexec/ibus-extension-gtk3
luci        4182  0.0  0.1 178376 12500 ?        Sl   02:32   0:00 /usr/libexec/ibus-x11 --kill-daemon
luci        4190  0.0  0.1 308536  7176 ?        Sl   02:32   0:00 /usr/libexec/ibus-portal
luci        4199  0.0  0.2 413324 14800 ?        Sl   02:32   0:00 /usr/libexec/gsd-printer
luci        4244  0.0  0.4 2731156 29160 ?       Sl   02:32   0:01 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
luci        4250  0.0  0.4 883480 31724 ?        SNsl 02:32   0:06 /usr/libexec/localsearch-3
luci        4251  0.0  2.0 1568440 131444 ?      Ssl  02:32   0:06 /usr/libexec/xdg-desktop-portal-gnome
luci        4274  0.0  0.1 390016  8580 ?        Ssl  02:32   0:07 /usr/libexec/gvfs-afc-volume-monitor
luci        4297  0.0  0.1 307824  6436 ?        Ssl  02:32   0:00 /usr/libexec/gvfs-goa-volume-monitor
luci        4306  0.0  0.3 517704 25116 ?        Sl   02:32   0:00 /usr/libexec/goa-daemon
luci        4325  0.0  0.1 387696  9228 ?        Sl   02:33   0:01 /usr/libexec/goa-identity-service
luci        4332  0.0  0.1 307928  6708 ?        Ssl  02:33   0:00 /usr/libexec/gvfs-mtp-volume-monitor
luci        4338  0.0  0.4 1434336 26268 ?       Ssl  02:33   0:02 /usr/libexec/evolution-calendar-factory
